"geoid","income_recode","size_recode","ipf"
"11001010202",1,4,0
"11001010202",2,4,9
"11001010202",3,4,1
"11001010202",4,4,0
"11001010202",5,4,24
"11001010202",6,4,2
"11001010202",7,4,2
"11001010202",8,4,2
"11001010202",9,4,3
"11001010202",1,5,0
"11001010202",2,5,22
"11001010202",3,5,1
"11001010202",4,5,0
"11001010202",5,5,7
"11001010202",6,5,0
"11001010202",7,5,1
"11001010202",8,5,2
"11001010202",9,5,15
"11001010201",1,1,83
"11001010201",2,1,28
"11001010201",3,1,24
"11001010201",4,1,31
"11001010201",5,1,199
"11001010201",6,1,198
"11001010201",7,1,170
"11001010201",8,1,130
"11001010201",9,1,279
"11001010201",1,2,65
"11001010201",2,2,9
"11001010201",3,2,26
"11001010201",4,2,76
"11001010201",5,2,113
"11001010201",6,2,74
"11001010201",7,2,36
"11001010201",8,2,44
"11001010201",9,2,59
"11001010201",1,3,5
"11001010201",2,3,1
"11001010201",3,3,4
"11001010201",4,3,13
"11001010201",5,3,1
"11001010201",6,3,4
"11001010201",7,3,3
"11001010201",8,3,2
"11001010201",9,3,4
"11001010201",1,4,0
"11001010201",2,4,0
"11001010201",3,4,0
"11001010201",4,4,0
"11001010201",5,4,0
"11001010201",6,4,0
"11001010201",7,4,0
"11001010201",8,4,0
"11001010201",9,4,0
"11001010201",1,5,4
"11001010201",2,5,1
"11001010201",3,5,2
"11001010201",4,5,6
"11001010201",5,5,2
"11001010201",6,5,0
"11001010201",7,5,0
"11001010201",8,5,5
"11001010201",9,5,26
"11001010100",1,1,115
"11001010100",2,1,31
"11001010100",3,1,18
"11001010100",4,1,31
"11001010100",5,1,164
"11001010100",6,1,127
"11001010100",7,1,214
"11001010100",8,1,86
"11001010100",9,1,376
"11001010100",1,2,96
"11001010100",2,2,10
"11001010100",3,2,20
"11001010100",4,2,81
"11001010100",5,2,153
"11001010100",6,2,53
"11001010100",7,2,56
"11001010100",8,2,30
"11001010100",9,2,147
"11001010100",1,3,5
"11001010100",2,3,1
"11001010100",3,3,3
"11001010100",4,3,11
"11001010100",5,3,1
"11001010100",6,3,2
"11001010100",7,3,2
"11001010100",8,3,1
"11001010100",9,3,3
"11001010100",1,4,1
"11001010100",2,4,1
"11001010100",3,4,1
"11001010100",4,4,6
"11001010100",5,4,3
"11001010100",6,4,1
"11001010100",7,4,1
"11001010100",8,4,1
"11001010100",9,4,1
"11001010100",1,5,0
"11001010100",2,5,0
"11001010100",3,5,0
"11001010100",4,5,0
"11001010100",5,5,0
"11001010100",6,5,0
